OpenHarmony-SIG/flutter_flutter,flutter_flutter
meetqy/flutter_luckin_coffee,flutterluckin coffee application（仿瑞幸咖啡）
Gitee 极速下载/Flutter,Flutter是一种新型的方式，用于创建高性能、跨平台的移动应用
wanghongenpin/network_proxy_flutter,开源免费抓包软件ProxyPin，支持全平台系统，用flutter框架开发
microapp/linjiashop-flutter,邻家小铺app，采用flutter开发，跨平台
cdnbye/flutter-p2p-engine,Flutter视频/直播APP省流量&加速神器! QQ群：901641535
flutter-studio/flutter-icons,用于Flutter的可定制的图标库
青年码农/flutter_app,"一个帮助flutter开发者快速上手的app,目前已添加常用widget将近60多种，后期还在不断添加中。"
sandaohaizi/flutter_flutter_av,致敬：https://gitee.com/getmoon/flutter_flutterhttp://ci.openharmony.cn/
张胤/flutter_pdf_flutter,flutter_pdf_flutter
fyl080801/flutter2048,基于flutter开发的 2048 游戏，支持3x3 4x4 6x6三种模式
Hunter0x7c7/Flutter_arcgis_flutter,https://github.com/apptreesoftware/arcgis_flutter.git
xuexiangjys/flutter_template,Flutter空壳模版工程，已实现国际化、主题换肤、登录注册等功能.
OpenHarmony/third_party_flutter,Third-party open-source softwareflutter| 三方开源软件flutter
CodePub/flutter,flutter官网镜像https://github.com/flutter/flutter
谢英泽/iMemory-flutter,倒计时flutter版本flutter版本 2.3 dev
MickWen/flutter,来源 https://github.com/flutter/flutter.git
okflutter/flutter,mirror of https://github.com/flutter/flutter.git
Zha0Zhun/flutter,https://github.com/flutter/flutter.git
小众镜像/flutter,mirror of https://github.com/flutter/flutter.git
gubnota/charts_flutter,charts_flutterpub.devflutterlibrary with a small fix.
zhao111456/Flutter,flutterdemo 学习
iangellove/Omega-AI,Omega-AI：基于java打造的深度学习框架，帮助你快速搭建神经网络，实现模型推理与训练，引擎支持自动求导，多线程与GPU运算，GPU支持CUDA，CUDNN。
dromara/easyAi,java傻瓜ai框架，无需任何算法知识，通过简单的api调用就可以实现 常用的图像内物体的识别，定位等图像ai服务，及自然语言分类处理服务。面向java开发程序员，不依赖任何第三方库，第三方接口，独立包。视频教程地址如下
ApulisPlatform/ApulisAIPlatform,依瞳人工智能平台旨在为不同行业的用户提供基于深度学习的端到端解决方案，使用户可以用最快的速度、最少的时间开始高性能的深度学习工作，从而大幅节省研究成本、提高研发效率，同时可为中小企业解决私有云难建成、成本高等问题。
顾真牛/ai00_rwkv_server,AI00 RWKV Server是一个基于RWKV模型的推理API服务器。 支持VULKAN推理加速，可以在所有支持VULKAN的GPU上运行。不用N卡！！！A卡甚至集成显卡都可加速！！！ 无需臃肿的pytorch、CUDA等运行环境，小巧身材，开箱即用！
OpenHarmony/ai_engine,AI业务子系统是OpenHarmony提供原生的分布式AI能力的子系统
